iter	Passed	Remaining
477	620	677
478	621	675
479	622	674
480	623	672
481	624	670
482	624	668
483	625	666
484	626	664
485	626	662
486	627	661
487	628	659
488	628	657
489	629	655
490	632	655
491	634	655
492	635	653
493	636	651
494	636	649
495	637	647
496	638	646
497	639	644
498	639	642
499	640	640
500	641	638
501	642	636
502	642	635
503	643	633
504	644	631
505	644	629
506	646	628
507	647	627
508	648	625
509	649	623
510	650	622
511	651	621
512	652	619
513	653	617
514	654	616
515	656	615
516	656	613
517	657	611
518	658	610
519	659	608
520	659	606
521	662	606
522	663	605
523	664	603
524	665	601
525	665	600
526	666	598
527	668	597
528	669	595
529	669	594
530	670	592
531	671	590
532	672	588
533	672	587
534	673	585
535	674	583
536	674	581
537	677	581
538	678	579
539	679	578
540	680	577
541	681	575
542	682	574
543	682	572
544	684	571
545	684	569
546	686	568
547	686	566
548	687	564
549	688	563
550	689	561
551	689	559
552	692	559
553	693	558
554	695	557
555	696	556
556	697	554
557	697	552
558	698	551
559	699	549
560	700	547
561	700	546
562	701	544
563	702	542
564	702	541
565	703	539
566	704	537
567	704	536
568	707	535
569	708	534
570	709	532
571	710	531
572	710	529
573	711	528
574	712	526
575	713	524
576	714	523
577	714	521
578	715	520
579	716	519
580	717	517
581	719	516
582	720	515
583	721	514
584	722	512
585	723	511
586	724	509
587	725	508
588	726	506
589	726	505
590	727	503
591	728	501
592	729	500
593	729	498
594	730	497
595	731	495
596	732	494
597	733	492
598	734	491
599	736	491
600	738	490
601	739	488
602	740	487
603	740	485
604	742	484
605	742	482
606	743	481
607	744	479
608	745	478
609	746	477
610	747	475
611	748	474
612	749	472
613	750	471
614	750	470
615	752	469
616	753	467
617	754	466
618	755	465
619	756	463
620	757	462
621	758	460
622	758	459
623	759	457
624	760	456
625	761	454
626	761	453
627	763	451
628	764	450
629	764	449
630	767	448
631	769	447
632	770	446
633	770	445
634	772	443
635	773	442
636	774	441
637	775	439
638	776	438
639	776	436
640	777	435
641	779	434
642	780	433
643	782	432
644	784	431
645	787	431
646	789	430
647	790	429
648	791	428
649	792	426
650	793	425
651	793	423
652	794	422
653	795	420
654	796	419
655	798	418
656	799	417
657	800	416
658	801	414
659	803	413
660	805	412
661	806	411
662	806	410
663	807	408
664	808	407
665	809	405
666	810	404
667	811	403
668	812	401
669	813	400
670	814	399
671	815	398
672	816	396
673	818	395
674	820	394
675	821	393
676	822	392
677	822	390
678	823	389
679	824	387
680	826	386
681	827	385
682	827	384
683	828	382
684	829	381
685	830	380
686	831	378
687	832	377
688	833	376
689	835	375
690	837	374
691	837	372
692	838	371
693	839	370
694	841	369
695	842	367
696	842	366
697	843	365
698	845	363
699	846	362
700	847	361
701	849	360
702	850	359
703	851	357
704	851	356
705	852	355
706	853	353
707	855	352
708	856	351
709	857	350
710	858	349
711	859	347
712	860	346
713	861	345
714	862	343
715	863	342
716	864	341
717	866	340
718	867	339
719	868	337
720	869	336
721	870	335
722	871	334
723	872	332
724	873	331
725	874	330
726	875	328
727	876	327
728	877	326
729	879	325
730	880	324
731	881	322
732	882	321
733	882	319
734	884	318
735	885	317
736	886	316
737	888	315
738	889	314
739	890	312
740	891	311
741	892	310
742	892	308
743	893	307
744	894	306
745	895	304
746	895	303
747	896	302
748	897	300
749	898	299
750	900	298
751	901	297
752	902	296
753	904	295
754	905	293
755	906	292
756	907	291
757	907	289
758	908	288
759	909	287
760	910	285
761	910	284
762	911	283
763	912	281
764	913	280
765	915	279
766	915	278
767	917	277
768	919	276
769	919	274
770	920	273
771	921	272
772	922	270
773	923	269
774	923	268
775	924	266
776	925	265
777	926	264
778	926	262
779	927	261
780	930	260
781	931	259
782	932	258
783	934	257
784	935	256
785	936	255
786	937	253
787	938	252
788	939	251
789	939	249
790	940	248
791	941	247
792	942	245
793	942	244
794	943	243
795	945	242
796	946	241
797	947	239
798	948	238
799	950	237
800	950	236
801	951	234
802	952	233
803	953	232
804	953	231
805	954	229
806	955	228
807	955	227
808	956	225
809	957	224
810	958	223
811	960	222
812	961	221
813	962	219
814	963	218
815	965	217
816	966	216
817	966	215
818	967	213
819	968	212
820	969	211
821	969	210
822	970	208
823	972	207
824	972	206
825	974	205
826	975	204
827	976	202
828	977	201
829	978	200
830	979	199
831	979	197
832	980	196
833	981	195
834	983	194
835	984	193
836	984	191
837	985	190
838	986	189
839	986	187
840	987	186
841	988	185
842	990	184
843	991	183
844	992	182
845	993	180
846	994	179
847	994	178
848	995	177
849	996	175
850	997	174
851	997	173
852	998	172
853	999	170
854	999	169
855	1000	168
856	1001	167
857	1002	165
858	1002	164
859	1003	163
860	1004	162
861	1005	161
862	1006	159
863	1007	158
864	1008	157
865	1009	156
866	1009	154
867	1010	153
868	1011	152
869	1012	151
870	1012	150
871	1013	148
872	1014	147
873	1015	146
874	1016	145
875	1017	144
876	1019	142
877	1020	141
878	1021	140
879	1022	139
880	1022	138
881	1023	136
882	1024	135
883	1025	134
884	1026	133
885	1027	132
886	1028	131
887	1029	129
888	1029	128
889	1030	127
890	1031	126
891	1032	124
892	1033	123
893	1036	122
894	1037	121
895	1038	120
896	1039	119
897	1040	118
898	1040	116
899	1041	115
900	1042	114
901	1042	113
902	1043	112
903	1044	110
904	1045	109
905	1045	108
906	1046	107
907	1047	106
908	1048	105
909	1050	103
910	1051	102
911	1052	101
912	1053	100
913	1054	99
914	1055	98
915	1056	96
916	1056	95
917	1057	94
918	1058	93
919	1058	92
920	1059	90
921	1060	89
922	1061	88
923	1061	87
924	1062	86
925	1064	85
926	1066	83
927	1067	82
928	1068	81
929	1068	80
930	1069	79
931	1070	78
932	1071	76
933	1071	75
934	1072	74
935	1073	73
936	1073	72
937	1074	71
938	1075	69
939	1076	68
940	1076	67
941	1077	66
942	1079	65
943	1079	64
944	1080	62
945	1081	61
946	1082	60
947	1083	59
948	1084	58
949	1085	57
950	1086	55
951	1087	54
952	1088	53
953	1089	52
954	1090	51
955	1090	50
956	1091	49
957	1092	47
958	1092	46
959	1095	45
960	1096	44
961	1097	43
962	1098	42
963	1099	41
964	1100	39
965	1100	38
966	1101	37
967	1103	36
968	1103	35
969	1104	34
970	1105	33
971	1106	31
972	1106	30
973	1108	29
974	1111	28
975	1114	27
976	1115	26
977	1115	25
978	1116	23
979	1117	22
980	1118	21
981	1118	20
982	1119	19
983	1120	18
984	1121	17
985	1121	15
986	1122	14
987	1124	13
988	1125	12
989	1126	11
990	1127	10
991	1128	9
992	1129	7
993	1130	6
994	1130	5
995	1131	4
996	1132	3
997	1132	2
998	1133	1
999	1134	0
